"","lat","lon","Complaint.Type","Identifier","Severity"
"13452",39.2928939,-76.589895,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","036.-01-17.0",13
"13470",43.072683,-76.1616449,"Property Maintenance-Ext; Property Maintenance-Ext","002.-08-13.0",12
"13472",43.067213,-76.150107,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-06-03.0",14
"13502",43.033795,-76.123274,"Property Maintenance-Ext; Property Maintenance-Ext","052.-10-04.0",12
"13524",43.031497,-76.162843,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-24-01.0",13
"13529",41.536088,-88.110538,"Property Maintenance-Ext","016.-01-02.0",11
"13534",41.9219756,-78.651114,"Property Maintenance-Ext","086.-05-15.0",11
"13536",43.018594,-76.150135,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-02-13.0",13
"13541",43.026805,-76.143293,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","084.-11-15.0",20
"13553",43.0179199,-76.141072,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-07-02.0",14
"13557",43.062486,-76.148816,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-17-51.0",13
"13565",43.016806,-76.15625,"Property Maintenance-Ext; Property Maintenance-Ext; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","075.-03-06.0",15
"13567",43.042708,-76.168153,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","097.-01-20.0",36
"13574",43.068019,-76.143627,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","010.-27-07.0",14
"13576",43.034389,-76.165083,"Property Maintenance-Ext; Property Maintenance-Ext","092.-13-10.0",12
"13579",43.038929,-76.174781,"Property Maintenance-Ext; Property Maintenance-Ext","092.-02-16.0",12
