"","lat","lon","Complaint.Type","Identifier","Severity"
"21326",43.011682,-76.145607,"Property Maintenance-Ext","072.-16-51.0",11
"21328",43.070002,-76.108849,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","024.-03-06.0",16
"21343",43.013827,-76.147682,"Property Maintenance-Ext","076.-14-82.0",11
"21344",43.02856,-76.187928,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","089.-07-39.0",13
"21374",43.07797,-76.1333609,"Property Maintenance-Ext","012.-04-25.0",11
"21375",35.4260967,-119.0220454,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","016.-06-11.0",14
"21380",43.065527,-76.15141,"Property Maintenance-Int","009.-03-03.0",11
"21395",43.067707,-76.142889,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","010.-28-38.0",13
"21398",43.066325,-76.112945,"Property Maintenance-Ext","020.-07-15.0",11
"21399",43.015457,-76.153519,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","075.-13-16.0",13
"21408",43.0533069,-76.129683,"Property Maintenance-Ext; Property Maintenance-Ext","029.-15-35.0",12
"21427",43.070801,-76.136231,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int","013.-20-28.0",15
"21431",43.030338,-76.142931,"Bed Bugs","084.-05-07.0",11
"21454",43.056454,-76.199188,"Property Maintenance-Ext; Property Maintenance-Ext","113.-13-21.0",12
"21463",43.062492,-76.142522,"Property Maintenance-Ext; Property Maintenance-Ext","015.-11-09.0",12
"21465",43.037415,-76.095025,"Property Maintenance-Ext","043.-05-14.0",11
"21509",43.0283919,-76.155126,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","083.-02-16.0",27
"21521",43.035516,-76.15979,"Property Maintenance-Ext; Property Maintenance-Ext","093.-10-33.0",12
"21537",43.069719,-76.163735,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","002.-12-19.0",13
"21547",43.0353471,-76.1712924,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-16-24.0",35
"21555",43.046199,-76.118849,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","037.-04-26.0",14
"21561",43.002508,-76.13907,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","071.-13-13.0",17
"21572",43.05557,-76.119055,"Property Maintenance-Ext; Property Maintenance-Ext","028.-11-30.0",12
"21577",43.033563,-76.126316,"Property Maintenance-Ext; Property Maintenance-Ext","052.-12-13.0",12
"21584",43.069074,-76.162108,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","002.-16-15.0",19
"21586",43.0481221,-76.1474244,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","009.-21-18.0",20
"21610",43.032209,-76.173049,"Property Maintenance-Ext; Property Maintenance-Ext","087.-02-13.0",12
"21616",42.5589499,-77.4791946,"Property Maintenance-Ext; Property Maintenance-Ext","016.-14-04.0",12
"21618",40.582022,-74.109393,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-16-35.0",13
"21625",43.066874,-76.144826,"Property Maintenance-Ext; Property Maintenance-Ext","009.-21-06.0",12
"21629",43.069107,-76.118246,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","021.-02-37.0",13
"21639",43.024808,-76.142021,"Property Maintenance-Ext; Property Maintenance-Ext","077.-08-03.0",12
"21641",44.8878858,-68.6694522,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","009.-17-33.0",63
"21645",43.03176,-76.146661,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","085.-11-07.0",13
"21683",43.068344,-76.151129,"Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int","007.-26-04.0",13
"21714",43.021237,-76.141673,"Property Maintenance-Int","077.-15-04.0",11
"21716",43.028106,-76.148381,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","084.-21-02.0",23
"21717",43.073154,-76.156166,"Property Maintenance-Ext; Property Maintenance-Ext","006.-01-03.0",12
"21721",43.071318,-76.143282,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","010.-03-20.0",14
"21727",43.047322,-76.177789,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","099.-01-09.1",13
"21744",43.024782,-76.139332,"Property Maintenance-Ext; Property Maintenance-Ext","058.-06-12.0",12
"21750",43.074228,-76.161562,"Unsafe Conditions; Unsafe Conditions; Unsafe Conditions; Unsafe Conditions; Unsafe Conditions; Unsafe Conditions; Unsafe Conditions","002.-07-10.0",17
"21771",43.048527,-76.111147,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","036.-06-18.0",17
"21792",34.1910061,-118.315233,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Trash/Debris-Private, Occ; Property Maintenance-Int; Property Maintenance-Int","092.-08-29.0",25
"21803",43.048765,-76.112402,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","036.-07-21.0",32
"21826",43.033413,-76.167562,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-14-32.0",13
"21829",43.008556,-76.143416,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","072.-11-19.0",13
"21839",43.030699,-76.145382,"Trash/Debris-Private, Occ","084.-04-23.0",11
"21864",43.032678,-76.143479,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","085.-09-15.0",13
"21867",43.021265,-76.15844,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","078.-01-18.2",15
"21890",43.032761,-76.185672,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","091.-15-26.0",13
"21905",43.0377586,-76.1750051,"Property Maintenance-Ext; Property Maintenance-Ext","092.-27-28.0",12
"21907",43.066683,-76.162682,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","002.-26-19.0",13
"21910",39.7240537,-105.2050939,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Illegal Trash Set Out; Illegal Trash Set Out; Property Maintenance-Int","047.-02-20.0",26
"21918",43.03422,-76.163251,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int","093.-13-31.0",15
"21923",43.076789,-76.158877,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","003.-11-13.0",13
"21935",43.0388038,-76.1725322,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-05-59.0",26
"21938",43.062194,-76.14359,"Property Maintenance-Ext; Property Maintenance-Ext","015.-11-33.0",12
"21940",43.068599,-76.150176,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","007.-25-31.0",13
"21949",38.8343547,-97.6115697,"Property Maintenance-Ext","101.-06-12.0",11
"21960",43.076021,-76.158995,"Property Maintenance-Ext","003.-12-13.0",11
"21972",43.0624899,-76.142645,"Property Maintenance-Ext; Property Maintenance-Ext","015.-11-08.0",12
"21985",43.029654,-76.112388,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","055.-08-08.0",13
"21988",43.0636395,-76.1443348,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-24-02.0",13
"21991",43.0661569,-76.117516,"Property Maintenance-Ext","020.-04-42.0",11
"21992",37.7674242,-81.2139043,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-28-14.0",14
"22009",43.0432739,-76.166766,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","100.-23-44.0",14
"22013",43.0159494,-76.1518115,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-10-59.0",13
"22016",42.992812,-76.139114,"Property Maintenance-Ext","067.-10-07.0",11
"22026",43.061382,-76.096773,"Property Maintenance-Ext","026.-18-16.0",11
"22044",43.081586,-76.161457,"Property Maintenance-Ext","001.1-01-13.1",11
"22050",43.019474,-76.163826,"Property Maintenance-Ext; Property Maintenance-Ext","079.-22-33.0",12
"22069",32.443367,-99.737607,"Cert of Use - Restaurant; Cert of Use - Restaurant; Cert of Use - Restaurant; Cert of Use - Restaurant","009.-28-13.0",14
"22072",43.053767,-76.12794,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-14-18.0",13
"22077",43.066828,-76.090974,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","025.-14-02.0",13
"22100",43.020786,-76.163922,"Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int","079.-09-25.0",13
"22127",26.1578449,-81.722685,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","072.-04-07.0",15
"22133",43.013629,-76.150491,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","075.-11-25.0",19
"22150",43.057513,-76.1936319,"Property Maintenance-Ext","112.-04-05.0",11
"22156",43.067646,-76.142245,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int","010.-28-11.0",17
"22161",43.02143,-76.145504,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-19-13.0",13
"22169",43.033405,-76.166279,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-13-20.0",18
"22178",43.0474258,-76.1246294,"Fire Alarm; Fire Alarm; Fire Alarm","047.-03-08.0",13
"22195",43.0384028,-76.1720715,"Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-05-04.0",33
"22206",43.03585,-76.172423,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-17-13.0",14
"22210",43.051485,-76.177736,"Property Maintenance-Ext; Property Maintenance-Ext","109.-02-24.0",12
"22226",43.035288,-76.177001,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-25-33.0",28
"22236",43.069878,-76.163618,"Property Maintenance-Int; Property Maintenance-Int","002.-12-17.0",12
"22256",43.042118,-76.16139,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","097.-03-16.1",13
"22259",39.6680093,-76.3791573,"Property Maintenance-Int","016.-11-12.0",11
"22287",43.038399,-76.126786,"Property Maintenance-Ext","046.-16-10.0",11
"22305",43.026172,-76.151985,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","083.-03-16.0",30
"22308",43.015592,-76.152901,"Property Maintenance-Ext; Property Maintenance-Ext","075.-12-50.0",12
"22310",43.051055,-76.179639,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Trash/Debris-Private, Occ","109.-01-10.0",14
"22313",43.025549,-76.147629,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-24-13.0",13
"22321",43.034961,-76.1179159,"Property Maintenance-Ext; Property Maintenance-Ext; Overgrowth: Private, Occ; Overgrowth: Private, Occ","053.-12-05.0",14
"22323",43.031322,-76.1813729,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","088.-05-35.0",20
"22325",43.059095,-76.112859,"Property Maintenance-Ext","028.-05-26.0",11
"22329",43.050665,-76.167179,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","105.-08-19.0",15
"22341",43.0562988,-76.1171842,"Property Maintenance-Ext; Property Maintenance-Ext","028.-11-09.0",12
"22354",43.036499,-76.17277,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-17-03.0",13
"22356",43.022236,-76.148786,"Property Maintenance-Ext; Property Maintenance-Ext","077.-23-34.0",12
"22360",43.0552149,-76.116173,"Property Maintenance-Ext; Property Maintenance-Ext","028.-12-23.0",12
"22362",43.2130025,-75.4651227,"Property Maintenance-Ext; Property Maintenance-Ext","105.-12-01.1",12
"22390",43.011328,-76.138659,"Property Maintenance-Ext","072.-05-10.0",11
"22393",43.019478,-76.1694799,"Property Maintenance-Ext","080.-11-52.0",11
"22416",43.0475489,-76.114974,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","037.-02-08.0",24
"22428",43.0701255,-76.1530412,"Property Maintenance-Ext","007.-23-19.0",11
"22481",43.011166,-76.15009,"Building W/O Permit; Building W/O Permit","073.-08-34.0",12
"22489",43.020993,-76.151801,"Property Maintenance-Int; Property Maintenance-Int","078.-06-31.1",12
"22494",43.077699,-76.137012,"Property Maintenance-Int; Property Maintenance-Int","011.-02-13.0",12
"22504",43.076713,-76.156913,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","003.-16-26.0",28
"22512",43.064051,-76.152102,"Property Maintenance-Ext; Property Maintenance-Ext","009.-02-39.0",12
"22516",43.044628,-76.092214,"Property Maintenance-Ext","039.-10-16.0",11
"22517",43.072428,-76.106345,"Property Maintenance-Ext; Vacant House Open toEntry; Vacant House Open toEntry; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Vacant House Open toEntry; Vacant House Open toEntry","023.-11-38.0",18
"22520",43.038136,-76.120058,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","046.-09-24.0",14
"22533",43.055752,-76.135147,"Property Maintenance-Ext","018.-03-58.0",11
"22552",43.062,-76.12969,"Building W/O Permit","019.-07-11.0",11
"22567",43.036674,-76.163601,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","093.-01-20.0",28
"22572",43.025457,-76.130991,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","058.-05-06.0",13
"22583",43.068598,-76.147901,"Property Maintenance-Ext; Property Maintenance-Ext","009.-11-05.0",12
"22586",43.003022,-76.1384269,"Property Maintenance-Ext","071.-14-19.0",11
"22600",42.1030469,-75.8712989,"Property Maintenance-Ext","006.-09-01.0",11
"22616",43.014499,-76.155496,"Property Maintenance-Ext; Property Maintenance-Ext","075.-15-19.0",12
"22619",43.011438,-76.142421,"Property Maintenance-Ext; Property Maintenance-Ext","072.-15-25.0",12
"22621",43.052818,-76.195881,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Building W/O Permit","112.-19-19.0",14
"22631",43.0019909,-76.142087,"Property Maintenance-Ext; Property Maintenance-Ext","071.-18-17.0",12
"22646",43.080744,-76.144626,"Property Maintenance-Ext","004.-22-21.0",11
"22670",43.02941,-76.145616,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-03-16.0",13
"22686",43.0652479,-76.099358,"Property Maintenance-Ext","025.-20-30.0",11
"22687",43.0802487,-76.1542724,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","003.-19-15.0",19
"22690",43.0296705,-76.1527344,"Property Maintenance-Int","085.-12-40.0",11
"22699",40.8622225,-73.8989717,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","013.-10-01.0",17
"22749",43.0700112,-76.0978976,"Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Property Maintenance-Int; Property Maintenance-Int; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety; Fire Safety","025.-02-01.0",58
"22759",43.07526,-76.145649,"Property Maintenance-Ext; Property Maintenance-Ext","005.-02-67.0",12
"22785",43.0391439,-76.1748195,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","092.-02-05.0",23
"22796",43.047632,-76.185988,"Fire Alarm; Fire Alarm; Fire Alarm","110.-06-01.0",13
"22841",43.0672,-76.149647,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-06-09.0",21
"22844",43.0513883,-76.19184,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","111.-02-11.0",15
"22885",43.032292,-76.1834049,"Overgrowth: Private, Occ","088.-03-03.0",11
"22886",43.060787,-76.140955,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","016.-11-11.0",17
"22893",43.023798,-76.146759,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","077.-02-42.0",14
"22897",40.7739173,-73.6496868,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","113.-07-09.0",13
"22902",25.7657405,-80.2879497,"Trash/Debris-Private, Occ","083.-07-26.0",11
"22903",43.014085,-76.148376,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-10-19.0",24
"22904",43.075214,-76.160516,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","003.-13-10.0",20
"22912",43.024729,-76.143484,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Infestation","077.-07-07.0",18
"22919",43.065664,-76.157019,"Trash/Debris-Private, Occ; Property Maintenance-Ext; Property Maintenance-Ext; Overgrowth: Private, Occ","007.-19-17.0",14
"22939",43.0498819,-76.171592,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","109.-05-09.0",18
"22945",43.063668,-76.145024,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","009.-23-32.1",17
"22947",43.023904,-76.1486989,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-01-25.0",13
"22951",29.761295,-95.375323,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","097.-12-07.0",14
"22984",43.030337,-76.154832,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-11-12.0",30
"22988",43.022661,-76.142306,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-11-13.0",13
"22997",43.014291,-76.169246,"Property Maintenance-Ext","074.-08-05.0",11
"23079",43.057812,-76.159685,"Property Maintenance-Ext","118.-02-13.0",11
"23080",43.0645049,-76.154546,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","007.-33-09.0",13
"23083",42.9384991,-85.3384116,"Property Maintenance-Ext; Property Maintenance-Ext","111.-24-07.0",12
"23089",43.07297,-76.163488,"Property Maintenance-Int; Property Maintenance-Int","002.-05-15.0",12
"23098",43.056413,-76.1992999,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","113.-13-22.0",26
"23115",43.041283,-76.1714889,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","097.-04-83.0",14
"23149",43.02541,-76.135846,"Property Maintenance-Int; Property Maintenance-Int","058.-09-10.0",12
"23155",43.032606,-76.157236,"Property Maintenance-Int; Property Maintenance-Int","086.-07-29.0",12
